"","iso2c","country","internet_users","year","iso3c","region","capital","longitude","latitude","income","lending"
"25","1A","Arab World",36.6238490712225,2014,"ARB","Aggregates","","","","Aggregates","Aggregates"
"26","1A","Arab World",NA,1976,"ARB","Aggregates","","","","Aggregates","Aggregates"
"27","1A","Arab World",NA,1975,"ARB","Aggregates","","","","Aggregates","Aggregates"
"28","1A","Arab World",NA,1974,"ARB","Aggregates","","","","Aggregates","Aggregates"
"29","1A","Arab World",NA,1973,"ARB","Aggregates","","","","Aggregates","Aggregates"
"30","1A","Arab World",NA,1972,"ARB","Aggregates","","","","Aggregates","Aggregates"
"31","1A","Arab World",NA,1971,"ARB","Aggregates","","","","Aggregates","Aggregates"
"32","1A","Arab World",18.5970961481042,2008,"ARB","Aggregates","","","","Aggregates","Aggregates"
"33","1A","Arab World",14.2275432517325,2007,"ARB","Aggregates","","","","Aggregates","Aggregates"
"34","1A","Arab World",11.6967073044332,2006,"ARB","Aggregates","","","","Aggregates","Aggregates"
"35","1A","Arab World",8.46430059427144,2005,"ARB","Aggregates","","","","Aggregates","Aggregates"
"36","1A","Arab World",7.08195800918121,2004,"ARB","Aggregates","","","","Aggregates","Aggregates"
"37","1A","Arab World",3.68668240412587,2003,"ARB","Aggregates","","","","Aggregates","Aggregates"
"38","1A","Arab World",2.72740391954483,2002,"ARB","Aggregates","","","","Aggregates","Aggregates"
"39","1A","Arab World",1.59036859126465,2001,"ARB","Aggregates","","","","Aggregates","Aggregates"
"40","1A","Arab World",NA,1962,"ARB","Aggregates","","","","Aggregates","Aggregates"
"41","1A","Arab World",NA,1961,"ARB","Aggregates","","","","Aggregates","Aggregates"
"42","1A","Arab World",NA,1960,"ARB","Aggregates","","","","Aggregates","Aggregates"
"43","1A","Arab World",0.000892639045287976,1993,"ARB","Aggregates","","","","Aggregates","Aggregates"
"44","1A","Arab World",0,1992,"ARB","Aggregates","","","","Aggregates","Aggregates"
"45","1A","Arab World",0,1991,"ARB","Aggregates","","","","Aggregates","Aggregates"
"46","1A","Arab World",NA,1970,"ARB","Aggregates","","","","Aggregates","Aggregates"
"47","1A","Arab World",NA,1989,"ARB","Aggregates","","","","Aggregates","Aggregates"
"48","1A","Arab World",NA,1988,"ARB","Aggregates","","","","Aggregates","Aggregates"
"49","1A","Arab World",NA,1987,"ARB","Aggregates","","","","Aggregates","Aggregates"
"50","1A","Arab World",0,1990,"ARB","Aggregates","","","","Aggregates","Aggregates"
"51","1A","Arab World",NA,1985,"ARB","Aggregates","","","","Aggregates","Aggregates"
"52","1A","Arab World",NA,1969,"ARB","Aggregates","","","","Aggregates","Aggregates"
"53","1A","Arab World",NA,1968,"ARB","Aggregates","","","","Aggregates","Aggregates"
"54","1A","Arab World",NA,1986,"ARB","Aggregates","","","","Aggregates","Aggregates"
"55","1A","Arab World",NA,1966,"ARB","Aggregates","","","","Aggregates","Aggregates"
"56","1A","Arab World",NA,1978,"ARB","Aggregates","","","","Aggregates","Aggregates"
"57","1A","Arab World",NA,1977,"ARB","Aggregates","","","","Aggregates","Aggregates"
"58","1A","Arab World",NA,1967,"ARB","Aggregates","","","","Aggregates","Aggregates"
"59","1A","Arab World",NA,1965,"ARB","Aggregates","","","","Aggregates","Aggregates"
"60","1A","Arab World",NA,1963,"ARB","Aggregates","","","","Aggregates","Aggregates"
"61","1A","Arab World",NA,1964,"ARB","Aggregates","","","","Aggregates","Aggregates"
"62","1W","World",15.7028936153559,2005,"WLD","Aggregates","","","","Aggregates","Aggregates"
"63","1W","World",17.4831937915925,2006,"WLD","Aggregates","","","","Aggregates","Aggregates"
"64","1W","World",28.7535063686057,2010,"WLD","Aggregates","","","","Aggregates","Aggregates"
"65","1W","World",25.3708372478522,2009,"WLD","Aggregates","","","","Aggregates","Aggregates"
"66","1W","World",22.9587730234956,2008,"WLD","Aggregates","","","","Aggregates","Aggregates"
"67","1W","World",20.4117381555735,2007,"WLD","Aggregates","","","","Aggregates","Aggregates"
"68","1W","World",0.178899926843962,1993,"WLD","Aggregates","","","","Aggregates","Aggregates"
"69","1W","World",0.125363507571836,1992,"WLD","Aggregates","","","","Aggregates","Aggregates"
"70","1W","World",14.0982293188612,2004,"WLD","Aggregates","","","","Aggregates","Aggregates"
"71","1W","World",12.2097659831683,2003,"WLD","Aggregates","","","","Aggregates","Aggregates"
"72","1W","World",10.5283686906732,2002,"WLD","Aggregates","","","","Aggregates","Aggregates"
"73","1W","World",8.05907355321202,2001,"WLD","Aggregates","","","","Aggregates","Aggregates"
"74","1W","World",6.73388038172671,2000,"WLD","Aggregates","","","","Aggregates","Aggregates"
"75","1W","World",4.62993504135382,1999,"WLD","Aggregates","","","","Aggregates","Aggregates"
"76","1W","World",3.1364058261673,1998,"WLD","Aggregates","","","","Aggregates","Aggregates"
"77","1W","World",2.03950847211358,1997,"WLD","Aggregates","","","","Aggregates","Aggregates"
"78","1W","World",1.32346981670892,1996,"WLD","Aggregates","","","","Aggregates","Aggregates"
"79","1W","World",0.681457000731262,1995,"WLD","Aggregates","","","","Aggregates","Aggregates"
"80","1W","World",0.359900198627025,1994,"WLD","Aggregates","","","","Aggregates","Aggregates"
"81","1W","World",NA,2020,"WLD","Aggregates","","","","Aggregates","Aggregates"
"82","1W","World",NA,2019,"WLD","Aggregates","","","","Aggregates","Aggregates"
"83","1W","World",NA,2018,"WLD","Aggregates","","","","Aggregates","Aggregates"
"84","1W","World",48.9969115845464,2017,"WLD","Aggregates","","","","Aggregates","Aggregates"
"85","1W","World",44.844248197958,2016,"WLD","Aggregates","","","","Aggregates","Aggregates"
"86","1W","World",41.6920714467025,2015,"WLD","Aggregates","","","","Aggregates","Aggregates"
"87","1W","World",39.8585274477917,2014,"WLD","Aggregates","","","","Aggregates","Aggregates"
"88","1W","World",36.6391439419875,2013,"WLD","Aggregates","","","","Aggregates","Aggregates"
"89","1W","World",34.2253920368198,2012,"WLD","Aggregates","","","","Aggregates","Aggregates"
"90","1W","World",31.1482105767916,2011,"WLD","Aggregates","","","","Aggregates","Aggregates"
"91","1W","World",NA,1971,"WLD","Aggregates","","","","Aggregates","Aggregates"
"92","1W","World",NA,1970,"WLD","Aggregates","","","","Aggregates","Aggregates"
"93","1W","World",NA,1969,"WLD","Aggregates","","","","Aggregates","Aggregates"
"94","1W","World",NA,1968,"WLD","Aggregates","","","","Aggregates","Aggregates"
"95","1W","World",NA,1967,"WLD","Aggregates","","","","Aggregates","Aggregates"
"96","1W","World",NA,1966,"WLD","Aggregates","","","","Aggregates","Aggregates"
"97","1W","World",NA,1965,"WLD","Aggregates","","","","Aggregates","Aggregates"
"98","1W","World",NA,1964,"WLD","Aggregates","","","","Aggregates","Aggregates"
"99","1W","World",NA,1963,"WLD","Aggregates","","","","Aggregates","Aggregates"
"100","1W","World",NA,1962,"WLD","Aggregates","","","","Aggregates","Aggregates"
"101","1W","World",NA,1961,"WLD","Aggregates","","","","Aggregates","Aggregates"
"102","1W","World",NA,1960,"WLD","Aggregates","","","","Aggregates","Aggregates"
"103","1W","World",NA,1986,"WLD","Aggregates","","","","Aggregates","Aggregates"
"104","1W","World",NA,1985,"WLD","Aggregates","","","","Aggregates","Aggregates"
"105","1W","World",NA,1984,"WLD","Aggregates","","","","Aggregates","Aggregates"
"106","1W","World",NA,1983,"WLD","Aggregates","","","","Aggregates","Aggregates"
"107","1W","World",NA,1982,"WLD","Aggregates","","","","Aggregates","Aggregates"
"108","1W","World",NA,1981,"WLD","Aggregates","","","","Aggregates","Aggregates"
"109","1W","World",NA,1980,"WLD","Aggregates","","","","Aggregates","Aggregates"
"110","1W","World",NA,1979,"WLD","Aggregates","","","","Aggregates","Aggregates"
"111","1W","World",0.0791811448606764,1991,"WLD","Aggregates","","","","Aggregates","Aggregates"
"112","1W","World",0.0492353503886526,1990,"WLD","Aggregates","","","","Aggregates","Aggregates"
"113","1W","World",NA,1989,"WLD","Aggregates","","","","Aggregates","Aggregates"
"114","1W","World",NA,1988,"WLD","Aggregates","","","","Aggregates","Aggregates"
"115","1W","World",NA,1987,"WLD","Aggregates","","","","Aggregates","Aggregates"
"116","1W","World",NA,1973,"WLD","Aggregates","","","","Aggregates","Aggregates"
"117","1W","World",NA,1972,"WLD","Aggregates","","","","Aggregates","Aggregates"
"118","1W","World",NA,1976,"WLD","Aggregates","","","","Aggregates","Aggregates"
"119","1W","World",NA,1975,"WLD","Aggregates","","","","Aggregates","Aggregates"
"120","1W","World",NA,1978,"WLD","Aggregates","","","","Aggregates","Aggregates"
"121","1W","World",NA,1977,"WLD","Aggregates","","","","Aggregates","Aggregates"
"122","1W","World",NA,1974,"WLD","Aggregates","","","","Aggregates","Aggregates"
"123","4E","East Asia & Pacific (excluding high income)",NA,1978,"EAP","Aggregates","","","","Aggregates","Aggregates"
"124","4E","East Asia & Pacific (excluding high income)",NA,1977,"EAP","Aggregates","","","","Aggregates","Aggregates"
"125","4E","East Asia & Pacific (excluding high income)",NA,1979,"EAP","Aggregates","","","","Aggregates","Aggregates"
"126","4E","East Asia & Pacific (excluding high income)",NA,1965,"EAP","Aggregates","","","","Aggregates","Aggregates"
"127","4E","East Asia & Pacific (excluding high income)",NA,1975,"EAP","Aggregates","","","","Aggregates","Aggregates"
"128","4E","East Asia & Pacific (excluding high income)",NA,1974,"EAP","Aggregates","","","","Aggregates","Aggregates"
"129","4E","East Asia & Pacific (excluding high income)",NA,1964,"EAP","Aggregates","","","","Aggregates","Aggregates"
"130","4E","East Asia & Pacific (excluding high income)",NA,1976,"EAP","Aggregates","","","","Aggregates","Aggregates"
"131","4E","East Asia & Pacific (excluding high income)",0.0118402019748799,1995,"EAP","Aggregates","","","","Aggregates","Aggregates"
"132","4E","East Asia & Pacific (excluding high income)",0.00363771746590409,1994,"EAP","Aggregates","","","","Aggregates","Aggregates"
"133","4E","East Asia & Pacific (excluding high income)",0.000874966393625866,1993,"EAP","Aggregates","","","","Aggregates","Aggregates"
"134","4E","East Asia & Pacific (excluding high income)",2.34806179550737e-05,1992,"EAP","Aggregates","","","","Aggregates","Aggregates"
"135","4E","East Asia & Pacific (excluding high income)",NA,1963,"EAP","Aggregates","","","","Aggregates","Aggregates"
"136","4E","East Asia & Pacific (excluding high income)",NA,1962,"EAP","Aggregates","","","","Aggregates","Aggregates"
"137","4E","East Asia & Pacific (excluding high income)",NA,1961,"EAP","Aggregates","","","","Aggregates","Aggregates"
"138","4E","East Asia & Pacific (excluding high income)",NA,1960,"EAP","Aggregates","","","","Aggregates","Aggregates"
"139","4E","East Asia & Pacific (excluding high income)",1.89386467568083,2000,"EAP","Aggregates","","","","Aggregates","Aggregates"
"140","4E","East Asia & Pacific (excluding high income)",NA,1981,"EAP","Aggregates","","","","Aggregates","Aggregates"
"141","4E","East Asia & Pacific (excluding high income)",NA,1980,"EAP","Aggregates","","","","Aggregates","Aggregates"
"142","4E","East Asia & Pacific (excluding high income)",NA,2020,"EAP","Aggregates","","","","Aggregates","Aggregates"
"143","4E","East Asia & Pacific (excluding high income)",NA,2019,"EAP","Aggregates","","","","Aggregates","Aggregates"
"144","4E","East Asia & Pacific (excluding high income)",NA,2018,"EAP","Aggregates","","","","Aggregates","Aggregates"
"145","4E","East Asia & Pacific (excluding high income)",50.9963791413882,2017,"EAP","Aggregates","","","","Aggregates","Aggregates"
"146","4E","East Asia & Pacific (excluding high income)",48.7288078320717,2016,"EAP","Aggregates","","","","Aggregates","Aggregates"
"147","4E","East Asia & Pacific (excluding high income)",44.3013490391452,2015,"EAP","Aggregates","","","","Aggregates","Aggregates"
"148","4E","East Asia & Pacific (excluding high income)",NA,1973,"EAP","Aggregates","","","","Aggregates","Aggregates"
"149","4E","East Asia & Pacific (excluding high income)",NA,1972,"EAP","Aggregates","","","","Aggregates","Aggregates"
"150","4E","East Asia & Pacific (excluding high income)",NA,1971,"EAP","Aggregates","","","","Aggregates","Aggregates"
"151","4E","East Asia & Pacific (excluding high income)",NA,1970,"EAP","Aggregates","","","","Aggregates","Aggregates"
"152","4E","East Asia & Pacific (excluding high income)",NA,1969,"EAP","Aggregates","","","","Aggregates","Aggregates"
"153","4E","East Asia & Pacific (excluding high income)",NA,1968,"EAP","Aggregates","","","","Aggregates","Aggregates"
"154","4E","East Asia & Pacific (excluding high income)",NA,1967,"EAP","Aggregates","","","","Aggregates","Aggregates"
"155","4E","East Asia & Pacific (excluding high income)",NA,1966,"EAP","Aggregates","","","","Aggregates","Aggregates"
"156","4E","East Asia & Pacific (excluding high income)",10.1680244802091,2006,"EAP","Aggregates","","","","Aggregates","Aggregates"
"157","4E","East Asia & Pacific (excluding high income)",8.31300609300024,2005,"EAP","Aggregates","","","","Aggregates","Aggregates"
"158","4E","East Asia & Pacific (excluding high income)",6.87940408538479,2004,"EAP","Aggregates","","","","Aggregates","Aggregates"
"159","4E","East Asia & Pacific (excluding high income)",5.75970228168088,2003,"EAP","Aggregates","","","","Aggregates","Aggregates"
"160","4E","East Asia & Pacific (excluding high income)",4.40510188793623,2002,"EAP","Aggregates","","","","Aggregates","Aggregates"
"161","4E","East Asia & Pacific (excluding high income)",2.77799219518233,2001,"EAP","Aggregates","","","","Aggregates","Aggregates"
"162","4E","East Asia & Pacific (excluding high income)",NA,1987,"EAP","Aggregates","","","","Aggregates","Aggregates"
"163","4E","East Asia & Pacific (excluding high income)",0.852457293643859,1999,"EAP","Aggregates","","","","Aggregates","Aggregates"
"164","4E","East Asia & Pacific (excluding high income)",0.32318177871606,1998,"EAP","Aggregates","","","","Aggregates","Aggregates"
"165","4E","East Asia & Pacific (excluding high income)",0.0940977216703898,1997,"EAP","Aggregates","","","","Aggregates","Aggregates"
"166","4E","East Asia & Pacific (excluding high income)",0.033627577725944,1996,"EAP","Aggregates","","","","Aggregates","Aggregates"
"167","4E","East Asia & Pacific (excluding high income)",NA,1982,"EAP","Aggregates","","","","Aggregates","Aggregates"
"168","4E","East Asia & Pacific (excluding high income)",23.7890210408462,2009,"EAP","Aggregates","","","","Aggregates","Aggregates"
"169","4E","East Asia & Pacific (excluding high income)",19.2725284794523,2008,"EAP","Aggregates","","","","Aggregates","Aggregates"
"170","4E","East Asia & Pacific (excluding high income)",14.3849555089716,2007,"EAP","Aggregates","","","","Aggregates","Aggregates"
"171","4E","East Asia & Pacific (excluding high income)",1.78707139513933e-06,1991,"EAP","Aggregates","","","","Aggregates","Aggregates"
"172","4E","East Asia & Pacific (excluding high income)",0,1990,"EAP","Aggregates","","","","Aggregates","Aggregates"
"173","4E","East Asia & Pacific (excluding high income)",NA,1989,"EAP","Aggregates","","","","Aggregates","Aggregates"
"174","4E","East Asia & Pacific (excluding high income)",NA,1988,"EAP","Aggregates","","","","Aggregates","Aggregates"
"175","4E","East Asia & Pacific (excluding high income)",NA,1983,"EAP","Aggregates","","","","Aggregates","Aggregates"
"176","4E","East Asia & Pacific (excluding high income)",NA,1986,"EAP","Aggregates","","","","Aggregates","Aggregates"
"177","4E","East Asia & Pacific (excluding high income)",NA,1985,"EAP","Aggregates","","","","Aggregates","Aggregates"
"178","4E","East Asia & Pacific (excluding high income)",NA,1984,"EAP","Aggregates","","","","Aggregates","Aggregates"
"179","4E","East Asia & Pacific (excluding high income)",36.0824061806959,2012,"EAP","Aggregates","","","","Aggregates","Aggregates"
"180","4E","East Asia & Pacific (excluding high income)",28.9798350006277,2010,"EAP","Aggregates","","","","Aggregates","Aggregates"
"181","4E","East Asia & Pacific (excluding high income)",42.0618027503691,2014,"EAP","Aggregates","","","","Aggregates","Aggregates"
"182","4E","East Asia & Pacific (excluding high income)",39.231870894012,2013,"EAP","Aggregates","","","","Aggregates","Aggregates"
"183","4E","East Asia & Pacific (excluding high income)",32.4043507882818,2011,"EAP","Aggregates","","","","Aggregates","Aggregates"
"184","7E","Europe & Central Asia (excluding high income)",NA,1979,"ECA","Aggregates","","","","Aggregates","Aggregates"
"185","7E","Europe & Central Asia (excluding high income)",NA,1980,"ECA","Aggregates","","","","Aggregates","Aggregates"
"186","7E","Europe & Central Asia (excluding high income)",NA,1978,"ECA","Aggregates","","","","Aggregates","Aggregates"
"187","7E","Europe & Central Asia (excluding high income)",NA,1977,"ECA","Aggregates","","","","Aggregates","Aggregates"
"188","7E","Europe & Central Asia (excluding high income)",0.186326040604741,1996,"ECA","Aggregates","","","","Aggregates","Aggregates"
"189","7E","Europe & Central Asia (excluding high income)",NA,1966,"ECA","Aggregates","","","","Aggregates","Aggregates"
"190","7E","Europe & Central Asia (excluding high income)",NA,1965,"ECA","Aggregates","","","","Aggregates","Aggregates"
"191","7E","Europe & Central Asia (excluding high income)",0.00709949499369988,1993,"ECA","Aggregates","","","","Aggregates","Aggregates"
"192","7E","Europe & Central Asia (excluding high income)",NA,1964,"ECA","Aggregates","","","","Aggregates","Aggregates"
"193","7E","Europe & Central Asia (excluding high income)",0.085227058937072,1995,"ECA","Aggregates","","","","Aggregates","Aggregates"
"194","7E","Europe & Central Asia (excluding high income)",0.032910301381293,1994,"ECA","Aggregates","","","","Aggregates","Aggregates"
"195","7E","Europe & Central Asia (excluding high income)",NA,1961,"ECA","Aggregates","","","","Aggregates","Aggregates"
"196","7E","Europe & Central Asia (excluding high income)",NA,1960,"ECA","Aggregates","","","","Aggregates","Aggregates"
"197","7E","Europe & Central Asia (excluding high income)",NA,1963,"ECA","Aggregates","","","","Aggregates","Aggregates"
"198","7E","Europe & Central Asia (excluding high income)",NA,1962,"ECA","Aggregates","","","","Aggregates","Aggregates"
"199","7E","Europe & Central Asia (excluding high income)",0.576011453809407,1998,"ECA","Aggregates","","","","Aggregates","Aggregates"
"200","7E","Europe & Central Asia (excluding high income)",0.355747288922677,1997,"ECA","Aggregates","","","","Aggregates","Aggregates"
"201","7E","Europe & Central Asia (excluding high income)",NA,1982,"ECA","Aggregates","","","","Aggregates","Aggregates"
"202","7E","Europe & Central Asia (excluding high income)",NA,1981,"ECA","Aggregates","","","","Aggregates","Aggregates"
"203","7E","Europe & Central Asia (excluding high income)",NA,2020,"ECA","Aggregates","","","","Aggregates","Aggregates"
"204","7E","Europe & Central Asia (excluding high income)",79.0325708704118,2019,"ECA","Aggregates","","","","Aggregates","Aggregates"
"205","7E","Europe & Central Asia (excluding high income)",73.2491567192842,2018,"ECA","Aggregates","","","","Aggregates","Aggregates"
"206","7E","Europe & Central Asia (excluding high income)",66.4277179518671,2017,"ECA","Aggregates","","","","Aggregates","Aggregates"
"207","7E","Europe & Central Asia (excluding high income)",NA,1976,"ECA","Aggregates","","","","Aggregates","Aggregates"
"208","7E","Europe & Central Asia (excluding high income)",NA,1975,"ECA","Aggregates","","","","Aggregates","Aggregates"
"209","7E","Europe & Central Asia (excluding high income)",NA,1974,"ECA","Aggregates","","","","Aggregates","Aggregates"
"210","7E","Europe & Central Asia (excluding high income)",NA,1973,"ECA","Aggregates","","","","Aggregates","Aggregates"
"211","7E","Europe & Central Asia (excluding high income)",NA,1972,"ECA","Aggregates","","","","Aggregates","Aggregates"
"212","7E","Europe & Central Asia (excluding high income)",NA,1971,"ECA","Aggregates","","","","Aggregates","Aggregates"
"213","7E","Europe & Central Asia (excluding high income)",NA,1970,"ECA","Aggregates","","","","Aggregates","Aggregates"
"214","7E","Europe & Central Asia (excluding high income)",NA,1969,"ECA","Aggregates","","","","Aggregates","Aggregates"
"215","7E","Europe & Central Asia (excluding high income)",NA,1968,"ECA","Aggregates","","","","Aggregates","Aggregates"
"216","7E","Europe & Central Asia (excluding high income)",NA,1967,"ECA","Aggregates","","","","Aggregates","Aggregates"
"217","7E","Europe & Central Asia (excluding high income)",19.9483781099451,2007,"ECA","Aggregates","","","","Aggregates","Aggregates"
"218","7E","Europe & Central Asia (excluding high income)",14.4762440029342,2006,"ECA","Aggregates","","","","Aggregates","Aggregates"
"219","7E","Europe & Central Asia (excluding high income)",11.958765300121,2005,"ECA","Aggregates","","","","Aggregates","Aggregates"
"220","7E","Europe & Central Asia (excluding high income)",10.4445573243637,2004,"ECA","Aggregates","","","","Aggregates","Aggregates"
"221","7E","Europe & Central Asia (excluding high income)",7.19884924759744,2003,"ECA","Aggregates","","","","Aggregates","Aggregates"
"222","7E","Europe & Central Asia (excluding high income)",4.91684718977202,2002,"ECA","Aggregates","","","","Aggregates","Aggregates"
"223","7E","Europe & Central Asia (excluding high income)",2.77701854058688,2001,"ECA","Aggregates","","","","Aggregates","Aggregates"
"224","7E","Europe & Central Asia (excluding high income)",1.86985137535656,2000,"ECA","Aggregates","","","","Aggregates","Aggregates"
"225","7E","Europe & Central Asia (excluding high income)",1.00575377921288,1999,"ECA","Aggregates","","","","Aggregates","Aggregates"
"226","7E","Europe & Central Asia (excluding high income)",NA,1985,"ECA","Aggregates","","","","Aggregates","Aggregates"
"227","7E","Europe & Central Asia (excluding high income)",NA,1984,"ECA","Aggregates","","","","Aggregates","Aggregates"
"228","7E","Europe & Central Asia (excluding high income)",NA,1983,"ECA","Aggregates","","","","Aggregates","Aggregates"
"229","7E","Europe & Central Asia (excluding high income)",35.3883473273594,2010,"ECA","Aggregates","","","","Aggregates","Aggregates"
"230","7E","Europe & Central Asia (excluding high income)",26.9613615955339,2009,"ECA","Aggregates","","","","Aggregates","Aggregates"
"231","7E","Europe & Central Asia (excluding high income)",23.4275605002184,2008,"ECA","Aggregates","","","","Aggregates","Aggregates"
"232","7E","Europe & Central Asia (excluding high income)",0.00028020653315793,1992,"ECA","Aggregates","","","","Aggregates","Aggregates"
"233","7E","Europe & Central Asia (excluding high income)",0,1991,"ECA","Aggregates","","","","Aggregates","Aggregates"
"234","7E","Europe & Central Asia (excluding high income)",0,1990,"ECA","Aggregates","","","","Aggregates","Aggregates"
"235","7E","Europe & Central Asia (excluding high income)",NA,1989,"ECA","Aggregates","","","","Aggregates","Aggregates"
"236","7E","Europe & Central Asia (excluding high income)",NA,1988,"ECA","Aggregates","","","","Aggregates","Aggregates"
"237","7E","Europe & Central Asia (excluding high income)",NA,1987,"ECA","Aggregates","","","","Aggregates","Aggregates"
"238","7E","Europe & Central Asia (excluding high income)",NA,1986,"ECA","Aggregates","","","","Aggregates","Aggregates"
"239","7E","Europe & Central Asia (excluding high income)",52.9466125581636,2013,"ECA","Aggregates","","","","Aggregates","Aggregates"
"240","7E","Europe & Central Asia (excluding high income)",48.982033802219,2012,"ECA","Aggregates","","","","Aggregates","Aggregates"
"241","7E","Europe & Central Asia (excluding high income)",40.5739295077157,2011,"ECA","Aggregates","","","","Aggregates","Aggregates"
"242","7E","Europe & Central Asia (excluding high income)",58.9330871153535,2015,"ECA","Aggregates","","","","Aggregates","Aggregates"
"243","7E","Europe & Central Asia (excluding high income)",57.04551173764,2014,"ECA","Aggregates","","","","Aggregates","Aggregates"
"244","7E","Europe & Central Asia (excluding high income)",62.6545526950125,2016,"ECA","Aggregates","","","","Aggregates","Aggregates"
"245","8S","South Asia",0.000858966081670118,1994,"SAS","Aggregates","","","","Aggregates","Aggregates"
"246","8S","South Asia",0.0201474719356977,1995,"SAS","Aggregates","","","","Aggregates","Aggregates"
"247","8S","South Asia",NA,2020,"SAS","Aggregates","","","","Aggregates","Aggregates"
"248","8S","South Asia",0.000167241918281578,1993,"SAS","Aggregates","","","","Aggregates","Aggregates"
"249","8S","South Asia",8.54744513479063e-05,1992,"SAS","Aggregates","","","","Aggregates","Aggregates"
"250","8S","South Asia",0,1991,"SAS","Aggregates","","","","Aggregates","Aggregates"
"251","8S","South Asia",0,1990,"SAS","Aggregates","","","","Aggregates","Aggregates"
"252","8S","South Asia",NA,1989,"SAS","Aggregates","","","","Aggregates","Aggregates"
"253","8S","South Asia",9.41001702905328,2011,"SAS","Aggregates","","","","Aggregates","Aggregates"
"254","8S","South Asia",7.21973969713247,2010,"SAS","Aggregates","","","","Aggregates","Aggregates"
"255","8S","South Asia",5.16686609553699,2009,"SAS","Aggregates","","","","Aggregates","Aggregates"
"256","8S","South Asia",4.42625968942614,2008,"SAS","Aggregates","","","","Aggregates","Aggregates"
"257","8S","South Asia",3.98381730183109,2007,"SAS","Aggregates","","","","Aggregates","Aggregates"
"258","8S","South Asia",2.99224040780104,2006,"SAS","Aggregates","","","","Aggregates","Aggregates"
"259","8S","South Asia",2.55564645668163,2005,"SAS","Aggregates","","","","Aggregates","Aggregates"
"260","8S","South Asia",2.19007537447087,2004,"SAS","Aggregates","","","","Aggregates","Aggregates"
"261","8S","South Asia",1.84665677677393,2003,"SAS","Aggregates","","","","Aggregates","Aggregates"
"262","8S","South Asia",1.46664446850377,2002,"SAS","Aggregates","","","","Aggregates","Aggregates"
"263","8S","South Asia",0.664542970301687,2001,"SAS","Aggregates","","","","Aggregates","Aggregates"
"264","8S","South Asia",0.475928509361668,2000,"SAS","Aggregates","","","","Aggregates","Aggregates"
"265","8S","South Asia",0.227646629594943,1999,"SAS","Aggregates","","","","Aggregates","Aggregates"
"266","8S","South Asia",0.117714358250296,1998,"SAS","Aggregates","","","","Aggregates","Aggregates"
"267","8S","South Asia",0.060390755784059,1997,"SAS","Aggregates","","","","Aggregates","Aggregates"
"268","8S","South Asia",0.0409035293739115,1996,"SAS","Aggregates","","","","Aggregates","Aggregates"
"269","8S","South Asia",NA,1983,"SAS","Aggregates","","","","Aggregates","Aggregates"
"270","8S","South Asia",NA,1982,"SAS","Aggregates","","","","Aggregates","Aggregates"
"271","8S","South Asia",NA,1981,"SAS","Aggregates","","","","Aggregates","Aggregates"
"272","8S","South Asia",NA,2019,"SAS","Aggregates","","","","Aggregates","Aggregates"
