"","iso2c","country","year","birth","inf_mortality","life_exp","iso3c","region","capital","longitude","latitude","income","lending"
"48","4E","East Asia & Pacific (excluding high income)",2010,14.4227322062139,19.0757849100265,73.0662644084598,"EAP","Aggregates","","","","Aggregates","Aggregates"
"49","4E","East Asia & Pacific (excluding high income)",1998,17.7308253659444,36.3285412215668,69.5457763684502,"EAP","Aggregates","","","","Aggregates","Aggregates"
"50","4E","East Asia & Pacific (excluding high income)",1999,16.9366350528279,34.8601989140296,69.8360672330572,"EAP","Aggregates","","","","Aggregates","Aggregates"
"51","4E","East Asia & Pacific (excluding high income)",2000,16.4359015823112,33.265531849405,70.1361733407827,"EAP","Aggregates","","","","Aggregates","Aggregates"
"52","4E","East Asia & Pacific (excluding high income)",2001,15.9261318547987,31.6066744676466,70.4422854529354,"EAP","Aggregates","","","","Aggregates","Aggregates"
"53","4E","East Asia & Pacific (excluding high income)",2002,15.5166300996817,29.8369060896194,70.7483652455743,"EAP","Aggregates","","","","Aggregates","Aggregates"
"54","4E","East Asia & Pacific (excluding high income)",2003,15.1584849858817,28.1734050375488,71.0512664739093,"EAP","Aggregates","","","","Aggregates","Aggregates"
"55","4E","East Asia & Pacific (excluding high income)",2008,14.7003644421014,21.2990597317898,72.4966401921949,"EAP","Aggregates","","","","Aggregates","Aggregates"
"56","4E","East Asia & Pacific (excluding high income)",2013,14.3410494985871,16.3657620956794,73.934377026552,"EAP","Aggregates","","","","Aggregates","Aggregates"
"57","4E","East Asia & Pacific (excluding high income)",2014,14.4554821257585,15.525771982296,74.2204720452971,"EAP","Aggregates","","","","Aggregates","Aggregates"
"58","4E","East Asia & Pacific (excluding high income)",2011,14.381748176843,18.1073743977784,73.3551202612119,"EAP","Aggregates","","","","Aggregates","Aggregates"
"59","4E","East Asia & Pacific (excluding high income)",2012,14.428979139819,17.1653047961593,73.645297438745,"EAP","Aggregates","","","","Aggregates","Aggregates"
"60","4E","East Asia & Pacific (excluding high income)",2004,15.0268429846965,26.7913977610362,71.348817419878,"EAP","Aggregates","","","","Aggregates","Aggregates"
"61","4E","East Asia & Pacific (excluding high income)",2005,15.0498017114069,25.0194386014174,71.6407295378745,"EAP","Aggregates","","","","Aggregates","Aggregates"
"62","4E","East Asia & Pacific (excluding high income)",2015,14.1661493880031,14.8381915923295,74.4962276185303,"EAP","Aggregates","","","","Aggregates","Aggregates"
"63","4E","East Asia & Pacific (excluding high income)",2016,14.6662586361277,14.16043851529,74.7556141751153,"EAP","Aggregates","","","","Aggregates","Aggregates"
"64","4E","East Asia & Pacific (excluding high income)",2020,NA,NA,NA,"EAP","Aggregates","","","","Aggregates","Aggregates"
"65","4E","East Asia & Pacific (excluding high income)",2006,14.7804258150159,23.6655565968389,71.9275697021637,"EAP","Aggregates","","","","Aggregates","Aggregates"
"66","4E","East Asia & Pacific (excluding high income)",2007,14.7300908331171,22.3669310419764,72.2123463950006,"EAP","Aggregates","","","","Aggregates","Aggregates"
"67","4E","East Asia & Pacific (excluding high income)",2019,12.7626407816614,12.45269370574,75.40250594284,"EAP","Aggregates","","","","Aggregates","Aggregates"
"68","4E","East Asia & Pacific (excluding high income)",2017,14.2248703547105,13.5601301931934,74.9949516020132,"EAP","Aggregates","","","","Aggregates","Aggregates"
"69","4E","East Asia & Pacific (excluding high income)",2018,13.1387792920308,12.9701288655856,75.2105121056207,"EAP","Aggregates","","","","Aggregates","Aggregates"
"70","7E","Europe & Central Asia (excluding high income)",2001,13.4075882382327,28.4304768570823,67.4916251713964,"ECA","Aggregates","","","","Aggregates","Aggregates"
"71","7E","Europe & Central Asia (excluding high income)",2013,16.0887539659316,13.9474108071008,72.0234813008176,"ECA","Aggregates","","","","Aggregates","Aggregates"
"72","7E","Europe & Central Asia (excluding high income)",2000,13.4892318637496,30.1690234441703,67.338582871545,"ECA","Aggregates","","","","Aggregates","Aggregates"
"73","7E","Europe & Central Asia (excluding high income)",2004,14.1393841681153,23.4203785165522,68.0608450781974,"ECA","Aggregates","","","","Aggregates","Aggregates"
"74","7E","Europe & Central Asia (excluding high income)",2014,16.0830648999495,13.1977984786485,72.2644648009565,"ECA","Aggregates","","","","Aggregates","Aggregates"
"75","7E","Europe & Central Asia (excluding high income)",2002,13.6475999552262,26.6983298641322,67.5911142347145,"ECA","Aggregates","","","","Aggregates","Aggregates"
"76","7E","Europe & Central Asia (excluding high income)",2003,13.8732131260578,25.0295019750048,67.7071536669295,"ECA","Aggregates","","","","Aggregates","Aggregates"
"77","7E","Europe & Central Asia (excluding high income)",2008,15.8022117628263,18.2205144390033,69.6999788088979,"ECA","Aggregates","","","","Aggregates","Aggregates"
"78","7E","Europe & Central Asia (excluding high income)",2005,14.0271237071045,21.9638162462304,68.1867844330143,"ECA","Aggregates","","","","Aggregates","Aggregates"
"79","7E","Europe & Central Asia (excluding high income)",2006,14.4152442024372,20.6128665080915,68.8392935187119,"ECA","Aggregates","","","","Aggregates","Aggregates"
"80","7E","Europe & Central Asia (excluding high income)",2007,15.2246433966829,19.3383698076411,69.3625864985789,"ECA","Aggregates","","","","Aggregates","Aggregates"
"81","7E","Europe & Central Asia (excluding high income)",2012,16.1116173147051,14.6807292131225,71.5943804054371,"ECA","Aggregates","","","","Aggregates","Aggregates"
"82","7E","Europe & Central Asia (excluding high income)",1999,13.0241690728611,31.847075785594,67.3119379291156,"ECA","Aggregates","","","","Aggregates","Aggregates"
"83","7E","Europe & Central Asia (excluding high income)",2017,14.3095414993021,11.213994540314,73.4200631121167,"ECA","Aggregates","","","","Aggregates","Aggregates"
"84","7E","Europe & Central Asia (excluding high income)",2018,14.1097074232375,10.6655861882398,73.5927657286088,"ECA","Aggregates","","","","Aggregates","Aggregates"
"85","7E","Europe & Central Asia (excluding high income)",2015,15.4289241041291,12.4739798713811,72.5951611839931,"ECA","Aggregates","","","","Aggregates","Aggregates"
"86","7E","Europe & Central Asia (excluding high income)",2016,15.0159868277684,11.8470453343887,72.9542430453156,"ECA","Aggregates","","","","Aggregates","Aggregates"
"87","7E","Europe & Central Asia (excluding high income)",2009,15.8721258913194,17.2220262959263,70.3078171305216,"ECA","Aggregates","","","","Aggregates","Aggregates"
"88","7E","Europe & Central Asia (excluding high income)",2010,15.8258672928952,16.2915553711151,70.6514054371301,"ECA","Aggregates","","","","Aggregates","Aggregates"
"89","7E","Europe & Central Asia (excluding high income)",2019,13.7408976985274,10.160705283934,73.8615233711927,"ECA","Aggregates","","","","Aggregates","Aggregates"
"90","7E","Europe & Central Asia (excluding high income)",2020,NA,NA,NA,"ECA","Aggregates","","","","Aggregates","Aggregates"
"91","7E","Europe & Central Asia (excluding high income)",2011,15.8380390846258,15.4807685437159,71.2088773530934,"ECA","Aggregates","","","","Aggregates","Aggregates"
"92","7E","Europe & Central Asia (excluding high income)",1998,13.4533958569182,33.4685985558632,67.5765073510703,"ECA","Aggregates","","","","Aggregates","Aggregates"
"93","8S","South Asia",2015,20.1968154969327,39.3,68.6419006832955,"SAS","Aggregates","","","","Aggregates","Aggregates"
"94","8S","South Asia",2016,19.91113094199,37.6,68.9161514390397,"SAS","Aggregates","","","","Aggregates","Aggregates"
"95","8S","South Asia",2002,26.6720661245139,64.2,63.6237711459579,"SAS","Aggregates","","","","Aggregates","Aggregates"
"96","8S","South Asia",2003,26.1871162507764,62,64.0113964842553,"SAS","Aggregates","","","","Aggregates","Aggregates"
"97","8S","South Asia",2004,25.7001942560575,60,64.3951878712636,"SAS","Aggregates","","","","Aggregates","Aggregates"
"98","8S","South Asia",2017,19.6537002693835,36,69.1713119009688,"SAS","Aggregates","","","","Aggregates","Aggregates"
"99","8S","South Asia",2018,19.4073423191833,34.5,69.4122476461494,"SAS","Aggregates","","","","Aggregates","Aggregates"
"100","8S","South Asia",2019,19.1639773364696,33.1,69.6436173866985,"SAS","Aggregates","","","","Aggregates","Aggregates"
"101","8S","South Asia",2020,NA,NA,NA,"SAS","Aggregates","","","","Aggregates","Aggregates"
"102","8S","South Asia",2009,22.9872465139676,50.3,66.4278567036032,"SAS","Aggregates","","","","Aggregates","Aggregates"
"103","8S","South Asia",2010,22.4129847917968,48.4,66.8487685318254,"SAS","Aggregates","","","","Aggregates","Aggregates"
"104","8S","South Asia",1998,28.6533487578708,73.4,61.9697088944081,"SAS","Aggregates","","","","Aggregates","Aggregates"
"105","8S","South Asia",1999,28.1525239907182,71,62.4043113203733,"SAS","Aggregates","","","","Aggregates","Aggregates"
"106","8S","South Asia",2000,27.6544902064348,68.7,62.8239827828773,"SAS","Aggregates","","","","Aggregates","Aggregates"
"107","8S","South Asia",2001,27.161031464776,66.4,63.2289921393114,"SAS","Aggregates","","","","Aggregates","Aggregates"
"108","8S","South Asia",2013,20.9163802799665,42.8,68.0077190249383,"SAS","Aggregates","","","","Aggregates","Aggregates"
"109","8S","South Asia",2014,20.5291311463541,41,68.3402062592725,"SAS","Aggregates","","","","Aggregates","Aggregates"
"110","8S","South Asia",2008,23.5674419685222,52.2,66.0052498179568,"SAS","Aggregates","","","","Aggregates","Aggregates"
"111","8S","South Asia",2005,25.2026418140144,58,64.7831708529086,"SAS","Aggregates","","","","Aggregates","Aggregates"
"112","8S","South Asia",2006,24.6822478406388,56.1,65.1799329141394,"SAS","Aggregates","","","","Aggregates","Aggregates"
"113","8S","South Asia",2007,24.1350534008235,54.1,65.5877135689297,"SAS","Aggregates","","","","Aggregates","Aggregates"
"114","8S","South Asia",2011,21.8660003940857,46.5,67.2583178427736,"SAS","Aggregates","","","","Aggregates","Aggregates"
"115","8S","South Asia",2012,21.3636689206538,44.6,67.6463399602528,"SAS","Aggregates","","","","Aggregates","Aggregates"
"116","AD","Andorra",2006,10.6,5.1,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"117","AD","Andorra",1998,11.9,7.1,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"118","AD","Andorra",2001,11.8,6.3,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"119","AD","Andorra",2002,11.2,6.1,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"120","AD","Andorra",1999,12.6,6.8,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"121","AD","Andorra",2000,11.3,6.6,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"122","AD","Andorra",2005,10.7,5.4,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"123","AD","Andorra",2017,NA,3.1,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"124","AD","Andorra",2018,7.2,2.9,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"125","AD","Andorra",2019,7,2.8,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"126","AD","Andorra",2007,10.1,4.9,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"127","AD","Andorra",2008,10.4,4.7,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"128","AD","Andorra",2009,9.9,4.5,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"129","AD","Andorra",2010,9.8,4.3,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"130","AD","Andorra",2011,NA,4,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"131","AD","Andorra",2012,9.5,3.9,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"132","AD","Andorra",2013,NA,3.7,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"133","AD","Andorra",2003,10.3,5.8,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"134","AD","Andorra",2004,10.9,5.6,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"135","AD","Andorra",2016,8.8,3.2,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"136","AD","Andorra",2014,NA,3.5,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"137","AD","Andorra",2020,NA,NA,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"138","AD","Andorra",2015,NA,3.3,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"139","AE","United Arab Emirates",2011,11.616,7.1,76.521,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"140","AE","United Arab Emirates",2012,11.377,7,76.711,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"141","AE","United Arab Emirates",2015,10.772,6.7,77.285,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"142","AE","United Arab Emirates",2016,10.603,6.6,77.47,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"143","AE","United Arab Emirates",2013,11.159,6.8,76.903,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"144","AE","United Arab Emirates",2019,10.223,6.4,77.972,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"145","AE","United Arab Emirates",2020,NA,NA,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"146","AE","United Arab Emirates",2017,10.456,6.6,77.647,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"147","AE","United Arab Emirates",2018,10.331,6.5,77.814,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"148","AE","United Arab Emirates",2007,13.01,7.9,75.767,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"149","AE","United Arab Emirates",2008,12.581,7.6,75.957,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"150","AE","United Arab Emirates",2009,12.208,7.4,76.145,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"151","AE","United Arab Emirates",2010,11.888,7.3,76.332,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"152","AE","United Arab Emirates",2014,10.958,6.8,77.095,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"153","AE","United Arab Emirates",1998,17.675,10.2,73.883,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"154","AE","United Arab Emirates",1999,17.043,9.9,74.106,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"155","AE","United Arab Emirates",2000,16.494,9.6,74.327,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"156","AE","United Arab Emirates",2001,15.996,9.4,74.544,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"157","AE","United Arab Emirates",2002,15.514,9.1,74.758,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"158","AE","United Arab Emirates",2003,15.024,8.9,74.968,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"159","AE","United Arab Emirates",2004,14.518,8.6,75.174,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"160","AE","United Arab Emirates",2005,14.001,8.3,75.376,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"161","AE","United Arab Emirates",2006,13.49,8.1,75.573,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"162","AF","Afghanistan",1998,48.688,95.3,54.906,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"163","AF","Afghanistan",2002,46.901,84.9,56.784,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"164","AF","Afghanistan",2003,46.231,82.3,57.271,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"165","AF","Afghanistan",2016,33.981,51.3,63.763,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"166","AF","Afghanistan",2004,45.507,79.6,57.772,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"167","AF","Afghanistan",2005,44.723,77,58.29,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"168","AF","Afghanistan",2006,43.87,74.3,58.826,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"169","AF","Afghanistan",2007,42.944,71.7,59.375,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"170","AF","Afghanistan",2008,41.949,69,59.93,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"171","AF","Afghanistan",2009,40.903,66.5,60.484,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"172","AF","Afghanistan",2010,39.829,64.1,61.028,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"173","AF","Afghanistan",1999,48.419,92.7,55.376,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"174","AF","Afghanistan",2000,48.021,90.2,55.841,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"175","AF","Afghanistan",2001,47.505,87.6,56.308,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"176","AF","Afghanistan",2014,35.706,55.2,62.966,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"177","AF","Afghanistan",2015,34.809,53.2,63.377,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"178","AF","Afghanistan",2020,NA,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"179","AF","Afghanistan",2017,33.211,49.6,64.13,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"180","AF","Afghanistan",2018,32.487,48,64.486,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"181","AF","Afghanistan",2019,31.802,46.5,64.833,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"182","AF","Afghanistan",2011,38.75,61.7,61.553,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"183","AF","Afghanistan",2012,37.69,59.5,62.054,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"184","AF","Afghanistan",2013,36.67,57.2,62.525,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"185","AG","Antigua and Barbuda",2014,16.026,7.1,76.349,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"186","AG","Antigua and Barbuda",2007,17.341,10.1,75.376,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"187","AG","Antigua and Barbuda",2012,16.272,7.8,76.087,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"188","AG","Antigua and Barbuda",2013,16.152,7.4,76.218,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"189","AG","Antigua and Barbuda",2018,15.327,6,76.885,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"190","AG","Antigua and Barbuda",2019,15.107,5.8,77.016,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"191","AG","Antigua and Barbuda",2020,NA,NA,NA,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"192","AG","Antigua and Barbuda",2008,17.014,9.6,75.535,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"193","AG","Antigua and Barbuda",2009,16.749,9.1,75.683,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"194","AG","Antigua and Barbuda",2010,16.547,8.7,75.823,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"195","AG","Antigua and Barbuda",2011,16.396,8.2,75.956,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"196","AG","Antigua and Barbuda",1998,19.95,13.4,73.465,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"197","AG","Antigua and Barbuda",1999,19.943,13.2,73.705,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"198","AG","Antigua and Barbuda",2000,19.84,13,73.94,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"199","AG","Antigua and Barbuda",2015,15.883,6.8,76.483,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"200","AG","Antigua and Barbuda",2016,15.717,6.5,76.617,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"201","AG","Antigua and Barbuda",2017,15.53,6.2,76.752,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"202","AG","Antigua and Barbuda",2004,18.566,11.5,74.821,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"203","AG","Antigua and Barbuda",2005,18.137,11,75.019,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"204","AG","Antigua and Barbuda",2006,17.72,10.6,75.204,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"205","AG","Antigua and Barbuda",2001,19.635,12.7,74.171,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"206","AG","Antigua and Barbuda",2002,19.339,12.4,74.395,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
